sessionId,topic,condition,pattern,ageGroup,gender,preStance,preKnowledge,postUnderstanding,postNewInformation,postPerspectiveComparison,postFurtherExploration,chatbotAppropriateness,chatbotTrustworthiness,chatbotEngagement,postStance,systemComment,freeComment,keywordAnswer,keywordCorrect,startedAt,completedAt,completionTimeSeconds,createdAt,updatedAt
edc877b6-f835-44a7-a385-8ca99bd064c1,surveillance,mytwocents,P05,30-39,female,3,2,2,5,,3,4,2,3,4,,,ライオン,false,2026-08-18T14:03:24.223Z,2026-08-18T14:04:03.862Z,40,2026-08-18T14:04:03.864Z,2026-08-18T14:04:03.864Z
c138ce0f-f4bd-4385-9499-aa087284e594,surveillance,news,,20-29,male,2,2,4,4,,4,,,,2,,,犬,false,2026-08-18T14:03:30.613Z,2026-08-18T14:04:04.719Z,34,2026-08-18T14:04:04.720Z,2026-08-18T14:04:04.720Z
e653c08d-f062-44b0-9678-afd0c44813e1,nuclearenergy,mytwocents,P02,30-39,male,3,2,2,2,,3,3,2,2,3,,,ワニ,true,2026-08-18T14:03:27.219Z,2026-08-18T14:04:06.858Z,40,2026-08-18T14:04:06.859Z,2026-08-18T14:04:06.859Z
01b768ff-0eb1-4b8b-84f5-2f66d73f9659,selfdrivingcars,news,,50-59,male,2,2,4,4,,5,,,,2,,,ワニ,true,2026-08-18T14:03:26.863Z,2026-08-18T14:04:16.114Z,49,2026-08-18T14:04:16.115Z,2026-08-18T14:04:16.115Z
e2cebd67-9bc9-4417-8c3d-ebe468d3623f,surveillance,mytwocents,P02,40-49,male,2,3,3,3,,3,3,3,3,2,,,ワニ,true,2026-08-18T14:03:47.038Z,2026-08-18T14:04:16.755Z,30,2026-08-18T14:04:16.756Z,2026-08-18T14:04:16.756Z
40d23abd-80d1-4180-a52f-afc8132300d1,nuclearenergy,mytwocents,P03,40-49,male,3,2,4,3,,4,4,3,3,3,,,ワニ,true,2026-08-18T14:03:45.219Z,2026-08-18T14:04:17.295Z,32,2026-08-18T14:04:17.296Z,2026-08-18T14:04:17.296Z
273cfc9a-43ca-4773-9d3a-58647dd86b4c,nuclearenergy,mytwocents,P01,50-59,male,1,4,3,3,,3,3,2,2,1,,,ワニ,true,2026-08-18T14:03:26.220Z,2026-08-18T14:04:19.441Z,53,2026-08-18T14:04:19.442Z,2026-08-18T14:04:19.442Z
d5d0c5ff-8c59-4e95-9247-59f850af4a36,nuclearenergy,mytwocents,P04,30-39,male,4,2,4,3,,4,3,4,4,4,,,ワニ,true,2026-08-18T14:03:28.207Z,2026-08-18T14:04:21.962Z,54,2026-08-18T14:04:21.962Z,2026-08-18T14:04:21.962Z
e0706b72-8d96-4e6c-90ea-2b8fe8308874,selfdrivingcars,mytwocents,P01,30-39,female,4,2,3,3,,3,3,4,3,4,,,ワニ,true,2026-08-18T14:03:24.332Z,2026-08-18T14:04:22.739Z,58,2026-08-18T14:04:22.739Z,2026-08-18T14:04:22.739Z
0f7aef4a-9803-481b-b1c5-dd21a21cbafe,selfdrivingcars,news,,50-59,male,2,3,3,3,,2,,,,2,,なし,ワニ,true,2026-08-18T14:03:28.548Z,2026-08-18T14:04:23.095Z,55,2026-08-18T14:04:23.095Z,2026-08-18T14:04:23.095Z
3e79258b-59c5-456a-a752-59167b009077,selfdrivingcars,news,,20-29,male,3,4,4,4,,4,,,,3,,,ワニ,true,2026-08-18T14:03:30.999Z,2026-08-18T14:04:26.124Z,55,2026-08-18T14:04:26.124Z,2026-08-18T14:04:26.124Z
