sessionId,topic,condition,pattern,ageGroup,gender,preStance,preKnowledge,postUnderstanding,postNewInformation,postPerspectiveComparison,postFurtherExploration,chatbotAppropriateness,chatbotTrustworthiness,chatbotEngagement,postStance,systemComment,freeComment,keywordAnswer,keywordCorrect,startedAt,completedAt,completionTimeSeconds,createdAt,updatedAt
5ab5917b-5f94-4095-ac95-a05589e82984,selfdrivingcars,mytwocents,P01,20-29,male,3,4,5,5,4,4,4,3,2,4,いい,いい,犬,false,2026-08-19T14:01:29.225Z,2026-08-19T14:01:55.620Z,26,2026-08-19T14:01:55.621Z,2026-08-19T14:01:55.621Z
08ec4adc-6da0-4c35-9386-8814f1611ae6,selfdrivingcars,mytwocents,P04,40-49,male,3,3,3,3,3,3,3,3,3,3,,,ワニ,true,2026-08-19T14:01:29.893Z,2026-08-19T14:01:59.789Z,30,2026-08-19T14:01:59.790Z,2026-08-19T14:01:59.790Z
c6dcb635-b981-4821-93c7-82c6e237b7ff,selfdrivingcars,mytwocents,P04,20-29,male,3,2,3,3,4,4,2,2,5,4,,,ライオン,false,2026-08-19T14:01:31.196Z,2026-08-19T14:02:00.498Z,29,2026-08-19T14:02:00.498Z,2026-08-19T14:02:00.498Z
14e51898-c7f4-45b4-a7cd-424ab4573d57,nuclearenergy,news,,40-49,male,3,3,3,3,3,3,,,,3,,,ワニ,true,2026-08-19T14:01:41.995Z,2026-08-19T14:02:03.941Z,22,2026-08-19T14:02:03.942Z,2026-08-19T14:02:03.942Z
7755e3bb-2cd4-4f4e-8593-60e8cbbc1dee,nuclearenergy,mytwocents,P05,20-29,female,3,3,4,4,5,4,4,4,4,3,,,ワニ,true,2026-08-19T14:01:28.494Z,2026-08-19T14:02:03.996Z,36,2026-08-19T14:02:03.997Z,2026-08-19T14:02:03.997Z
ecd2bdbe-64e0-4a43-86af-1f032ff89855,surveillance,news,,30-39,female,3,2,4,3,3,3,,,,3,,,ワニ,true,2026-08-19T14:01:53.741Z,2026-08-19T14:02:21.000Z,27,2026-08-19T14:02:21.000Z,2026-08-19T14:02:21.000Z
01ab2138-776f-40d2-bad9-055e20fde6f1,selfdrivingcars,mytwocents,P04,30-39,female,3,4,3,4,4,4,4,4,4,4,,,ワニ,true,2026-08-19T14:01:55.952Z,2026-08-19T14:02:23.120Z,27,2026-08-19T14:02:23.120Z,2026-08-19T14:02:23.120Z
7a45c05f-0a7f-47ea-a2fd-da583612c001,surveillance,mytwocents,P05,30-39,male,1,5,5,3,4,4,3,3,4,1,,,ワニ,true,2026-08-19T14:01:29.450Z,2026-08-19T14:02:24.364Z,55,2026-08-19T14:02:24.365Z,2026-08-19T14:02:24.365Z
deef1e94-2b74-4cf9-b21e-ea44f28c5451,selfdrivingcars,mytwocents,P02,20-29,female,3,4,5,5,5,5,5,5,5,2,,,ワニ,true,2026-08-19T14:01:28.929Z,2026-08-19T14:02:25.196Z,56,2026-08-19T14:02:25.196Z,2026-08-19T14:02:25.196Z
f6d3b89e-0f8d-47f9-80e0-83ef625f0299,nuclearenergy,mytwocents,P03,50-59,male,3,4,4,4,4,4,4,4,4,2,,,ワニ,true,2026-08-19T14:00:46.236Z,2026-08-19T14:02:26.050Z,100,2026-08-19T14:02:26.051Z,2026-08-19T14:02:26.051Z
1e696a02-058b-4aea-a9ff-0758aed2b551,surveillance,mytwocents,P01,30-39,male,1,2,2,1,2,2,1,1,1,1,なし,なし,ワニ,true,2026-08-19T14:01:28.824Z,2026-08-19T14:02:28.918Z,60,2026-08-19T14:02:28.918Z,2026-08-19T14:02:28.918Z
95b287b0-4348-4347-a4c9-694246998cad,selfdrivingcars,news,,50-59,male,4,5,5,5,5,5,,,,1,,,ワニ,true,2026-08-19T14:01:50.594Z,2026-08-19T14:02:33.021Z,42,2026-08-19T14:02:33.022Z,2026-08-19T14:02:33.022Z
447d4691-7949-4f92-8fea-ec29806eb296,surveillance,mytwocents,P05,20-29,female,1,1,4,4,4,4,3,3,4,2,,,ワニ,true,2026-08-19T14:01:30.883Z,2026-08-19T14:02:35.477Z,65,2026-08-19T14:02:35.478Z,2026-08-19T14:02:35.478Z
a0b5248f-a54d-44c8-a3ed-c1e287bcd2da,nuclearenergy,mytwocents,P03,20-29,male,4,5,3,2,4,4,3,4,4,2,いい,いい,ライオン,false,2026-08-19T14:02:05.134Z,2026-08-19T14:02:43.083Z,38,2026-08-19T14:02:43.084Z,2026-08-19T14:02:43.084Z
5a7c1045-f5a5-4e33-92a8-344764f1a46f,nuclearenergy,news,,30-39,male,3,5,5,4,4,4,,,,3,,,ワニ,true,2026-08-19T14:01:50.026Z,2026-08-19T14:02:45.176Z,55,2026-08-19T14:02:45.177Z,2026-08-19T14:02:45.177Z
a52a6a10-5239-4e63-a727-11b50c2ab5c2,surveillance,mytwocents,P02,50-59,male,2,3,4,4,4,5,5,4,4,2,,,ワニ,true,2026-08-19T14:01:37.079Z,2026-08-19T14:02:45.920Z,69,2026-08-19T14:02:45.921Z,2026-08-19T14:02:45.921Z
146bc03e-09fb-416c-8511-5192d272c71c,surveillance,mytwocents,P02,30-39,male,3,4,4,4,4,5,4,4,5,3,,,犬,false,2026-08-19T14:01:28.650Z,2026-08-19T14:02:48.342Z,80,2026-08-19T14:02:48.343Z,2026-08-19T14:02:48.343Z
b1e2087c-b1c3-46cf-94fb-9bc2fea87473,nuclearenergy,mytwocents,P05,30-39,male,3,2,2,2,3,2,3,2,2,3,,,ワニ,true,2026-08-19T14:01:29.315Z,2026-08-19T14:02:49.137Z,80,2026-08-19T14:02:49.137Z,2026-08-19T14:02:49.137Z
b4a71d5b-27d9-43e7-b348-ee30d08f40dd,nuclearenergy,mytwocents,P03,40-49,male,4,4,4,5,5,5,5,4,5,1,,,ワニ,true,2026-08-19T14:01:30.017Z,2026-08-19T14:02:49.720Z,80,2026-08-19T14:02:49.721Z,2026-08-19T14:02:49.721Z
19f2cb0c-cebf-40b2-8d66-2b9bfd98d5d5,surveillance,mytwocents,P04,50-59,female,2,3,3,4,3,4,4,4,4,2,特にない,特にない,ワニ,true,2026-08-19T14:01:59.454Z,2026-08-19T14:03:03.974Z,65,2026-08-19T14:03:03.974Z,2026-08-19T14:03:03.974Z
85b666a8-4ebb-4e25-9012-8dc5c970a8a2,surveillance,mytwocents,P05,30-39,male,2,2,4,4,4,4,4,4,4,2,,,ワニ,true,2026-08-19T14:02:02.248Z,2026-08-19T14:03:04.954Z,63,2026-08-19T14:03:04.955Z,2026-08-19T14:03:04.955Z
7d23778c-7ee9-4fb4-8301-48feb487210a,selfdrivingcars,mytwocents,P04,50-59,male,4,4,5,3,5,5,5,3,5,4,,,ワニ,true,2026-08-19T14:01:30.282Z,2026-08-19T14:03:08.592Z,98,2026-08-19T14:03:08.593Z,2026-08-19T14:03:08.593Z
35d33229-49bd-4eb8-983e-83f351ac27e9,nuclearenergy,mytwocents,P03,50-59,male,3,3,3,2,3,2,3,3,2,3,,,ワニ,true,2026-08-19T14:01:28.924Z,2026-08-19T14:03:11.980Z,103,2026-08-19T14:03:11.980Z,2026-08-19T14:03:11.980Z
8a431bff-c5f6-4de2-9ce4-da53bb90be78,surveillance,mytwocents,P02,50-59,male,2,2,4,4,4,2,4,2,4,2,,,ワニ,true,2026-08-19T14:02:22.237Z,2026-08-19T14:03:12.414Z,50,2026-08-19T14:03:12.415Z,2026-08-19T14:03:12.415Z
ee7bcb7e-0dfb-4bfc-a59c-2b2f97385da1,nuclearenergy,mytwocents,P02,50-59,male,3,4,4,4,4,3,4,4,3,3,もうちょっとわかりやすくしてくれるといい,研究に役立ててください,ワニ,true,2026-08-19T14:01:30.547Z,2026-08-19T14:03:16.682Z,106,2026-08-19T14:03:16.683Z,2026-08-19T14:03:16.683Z
9f706f0d-1a1e-4e58-9919-8c468704d5a4,nuclearenergy,mytwocents,P05,50-59,female,3,4,2,4,4,4,3,3,3,3,,,ワニ,true,2026-08-19T14:01:29.681Z,2026-08-19T14:03:17.643Z,108,2026-08-19T14:03:17.644Z,2026-08-19T14:03:17.644Z
3b83d561-44a0-44a5-a5c3-a5fff868f9ef,surveillance,mytwocents,P04,20-29,male,4,5,5,5,5,5,3,5,4,1,いい,いい,ワニ,true,2026-08-19T14:02:50.748Z,2026-08-19T14:03:21.541Z,31,2026-08-19T14:03:21.542Z,2026-08-19T14:03:21.542Z
2f3c62bc-520c-4dce-a418-35b58a8fb712,surveillance,mytwocents,P02,50-59,female,2,3,4,4,4,5,4,4,4,2,,,ワニ,true,2026-08-19T14:02:41.694Z,2026-08-19T14:03:39.498Z,58,2026-08-19T14:03:39.498Z,2026-08-19T14:03:39.498Z
a8e599f4-89ac-47b4-8def-b9ec376ef66c,surveillance,mytwocents,P04,50-59,female,2,4,4,4,4,4,3,3,4,2,,,ワニ,true,2026-08-19T14:02:28.258Z,2026-08-19T14:03:45.209Z,77,2026-08-19T14:03:45.210Z,2026-08-19T14:03:45.210Z
067b2999-831a-4d1b-a54f-053cefa349d7,selfdrivingcars,mytwocents,P02,60+,female,2,1,2,2,2,2,3,3,2,2,,,ワニ,true,2026-08-19T14:01:43.043Z,2026-08-19T14:03:50.007Z,127,2026-08-19T14:03:50.007Z,2026-08-19T14:03:50.007Z
aa516ee9-c35b-4431-8691-b77e9b3f5cf9,selfdrivingcars,mytwocents,P03,60+,male,3,3,3,3,3,3,4,3,3,2,,,ワニ,true,2026-08-19T14:02:50.349Z,2026-08-19T14:04:13.118Z,83,2026-08-19T14:04:13.118Z,2026-08-19T14:04:13.118Z
951cec99-5e3f-41f0-afd2-38394e2d9901,nuclearenergy,mytwocents,P02,50-59,female,2,2,4,4,4,4,3,3,4,2,,,ワニ,true,2026-08-19T14:02:34.501Z,2026-08-19T14:04:16.751Z,102,2026-08-19T14:04:16.751Z,2026-08-19T14:04:16.751Z
ea8aeac3-1c09-480d-912a-9b5eb8beca70,nuclearenergy,mytwocents,P04,40-49,male,3,2,3,4,5,4,4,3,3,3,,,ワニ,true,2026-08-19T14:01:30.639Z,2026-08-19T14:04:19.364Z,169,2026-08-19T14:04:19.365Z,2026-08-19T14:04:19.365Z
847bb05b-5666-4f90-996a-bf2e994ed020,nuclearenergy,mytwocents,P04,40-49,male,1,4,4,4,4,4,4,4,4,1,,,ワニ,true,2026-08-19T14:03:52.137Z,2026-08-19T14:04:30.486Z,38,2026-08-19T14:04:30.486Z,2026-08-19T14:04:30.486Z
798931c1-51b9-4c47-a5d5-6e0e0f83bd7c,selfdrivingcars,mytwocents,P05,50-59,male,3,4,3,2,2,3,3,3,2,3,,,犬,false,2026-08-19T14:01:28.718Z,2026-08-19T14:04:34.461Z,186,2026-08-19T14:04:34.462Z,2026-08-19T14:04:34.462Z
096c95cf-ee54-4bfa-b552-084c59440914,selfdrivingcars,mytwocents,P05,60+,male,3,4,4,5,4,4,4,4,4,3,ある程度分かりやすかった,特にありません,ワニ,true,2026-08-19T14:01:40.704Z,2026-08-19T14:04:36.538Z,176,2026-08-19T14:04:36.538Z,2026-08-19T14:04:36.538Z
211f559b-0f7e-47cc-a66f-c04aaa0a6abb,selfdrivingcars,mytwocents,P03,40-49,male,2,2,3,4,4,4,3,3,3,2,,,ワニ,true,2026-08-19T14:01:55.509Z,2026-08-19T14:04:41.322Z,166,2026-08-19T14:04:41.323Z,2026-08-19T14:04:41.323Z
bae45fb9-e071-4a4f-b371-59b1097d0aff,selfdrivingcars,news,,60+,male,4,4,5,4,3,4,,,,4,,,ワニ,true,2026-08-19T14:01:29.265Z,2026-08-19T14:04:48.340Z,199,2026-08-19T14:04:48.340Z,2026-08-19T14:04:48.340Z
fd008aad-4fff-4984-b38c-b3678182ef45,nuclearenergy,mytwocents,P01,60+,male,3,3,4,4,3,3,2,3,4,2,,,ワニ,true,2026-08-19T14:02:15.721Z,2026-08-19T14:04:52.657Z,157,2026-08-19T14:04:52.657Z,2026-08-19T14:04:52.657Z
031935ac-c608-4f69-8a3a-774b543b2efc,selfdrivingcars,mytwocents,P05,30-39,female,1,2,4,4,4,5,4,1,5,1,自分では気づかぬ知識も多く読み物としてよい,回答が気に入らないからと言って利用制限するのはやめていただきたい,ワニ,true,2026-08-19T14:01:27.980Z,2026-08-19T14:04:55.845Z,208,2026-08-19T14:04:55.846Z,2026-08-19T14:04:55.846Z
bb4c8654-96f8-44fc-914e-0b0a1ce4331c,surveillance,mytwocents,P02,60+,male,2,2,3,3,3,4,2,4,4,2,簡潔にまとめられていて読みやすかった,,ワニ,true,2026-08-19T14:01:29.256Z,2026-08-19T14:05:08.041Z,219,2026-08-19T14:05:08.042Z,2026-08-19T14:05:08.042Z
8ace846d-bba4-46e1-b550-fd0acb5723fb,nuclearenergy,mytwocents,P02,50-59,male,4,4,5,4,5,4,4,4,5,4,,,ワニ,true,2026-08-19T14:02:44.561Z,2026-08-19T14:05:08.171Z,144,2026-08-19T14:05:08.172Z,2026-08-19T14:05:08.172Z
4e4ea97c-0278-4ce3-aba7-fcada8d9e6f5,surveillance,mytwocents,P03,50-59,male,1,4,3,4,4,4,4,4,3,2,,,ライオン,false,2026-08-19T14:01:40.959Z,2026-08-19T14:05:12.914Z,212,2026-08-19T14:05:12.914Z,2026-08-19T14:05:12.914Z
b1b19d39-e227-4952-a4b8-76e590f5b86a,surveillance,mytwocents,P03,50-59,male,2,2,4,4,4,3,4,4,4,2,,,ワニ,true,2026-08-19T14:04:25.409Z,2026-08-19T14:05:34.387Z,69,2026-08-19T14:05:34.387Z,2026-08-19T14:05:34.387Z
c129c087-03ae-476b-be6d-da32fc09b195,surveillance,mytwocents,P03,40-49,male,4,5,5,5,5,5,5,5,5,1,,,ワニ,true,2026-08-19T14:05:13.013Z,2026-08-19T14:05:39.812Z,27,2026-08-19T14:05:39.813Z,2026-08-19T14:05:39.813Z
28536b75-b36c-4141-aa7b-0a08e9554e6f,selfdrivingcars,mytwocents,P04,50-59,male,3,4,4,5,5,5,4,4,4,3,文字の大きさと背景のいろを読みやすいものに変えてほしい,,ワニ,true,2026-08-19T14:01:37.630Z,2026-08-19T14:05:55.489Z,258,2026-08-19T14:05:55.489Z,2026-08-19T14:05:55.489Z
9aa1194a-b3aa-45e7-84de-b2d1fb7d7dd6,selfdrivingcars,news,,60+,male,2,3,2,3,3,3,,,,1,,,ワニ,true,2026-08-19T14:02:05.112Z,2026-08-19T14:05:59.752Z,235,2026-08-19T14:05:59.753Z,2026-08-19T14:05:59.753Z
ce33aa0a-2a54-4a66-ae1f-5817952900b0,selfdrivingcars,mytwocents,P05,60+,female,4,4,4,4,4,5,4,4,4,4,,,ワニ,true,2026-08-19T14:01:29.595Z,2026-08-19T14:06:06.887Z,277,2026-08-19T14:06:06.887Z,2026-08-19T14:06:06.887Z
c2369112-e35f-4335-9b00-6afc252dd4cb,selfdrivingcars,mytwocents,P02,50-59,male,3,4,4,5,5,4,5,4,4,2,,,ワニ,true,2026-08-19T14:02:14.646Z,2026-08-19T14:06:07.537Z,233,2026-08-19T14:06:07.537Z,2026-08-19T14:06:07.537Z
d1bf1690-5541-4f24-a658-7c6f8a3da912,nuclearenergy,mytwocents,P05,50-59,male,3,4,4,5,4,3,4,3,2,3,,,ワニ,true,2026-08-19T14:01:53.241Z,2026-08-19T14:06:08.191Z,255,2026-08-19T14:06:08.192Z,2026-08-19T14:06:08.192Z
