sessionId,topic,article,condition,pattern,ageGroup,gender,preStance,preKnowledge,postUnderstanding,postNewInformation,postPerspectiveComparison,postFurtherExploration,postFurtherExplorationReason,chatbotAppropriateness,chatbotTrustworthiness,chatbotEngagement,postStance,systemComment,freeComment,keywordAnswer,keywordCorrect,startedAt,completedAt,completionTimeSeconds,createdAt,updatedAt
770c11f9-a3bb-4f60-87fd-94fadec3ef19,nuclearenergy,nuclearenergy2,news,,60+,male,4,4,4,4,3,4,,,,,4,,,ワニ,true,2026-08-25T14:02:18.800Z,2026-08-25T14:03:23.725Z,65,2026-08-25T14:03:23.726Z,2026-08-25T14:03:23.726Z
a2cfec58-70f3-4f36-b6dd-b9b7716e6b38,decreasericeprice,decreasericeprice1,news,,40-49,male,4,3,5,2,2,2,,,,,4,,,ワニ,true,2026-08-25T14:02:18.695Z,2026-08-25T14:03:39.089Z,80,2026-08-25T14:03:39.089Z,2026-08-25T14:03:39.089Z
a1f86b12-3230-4ef0-a38f-cefc2af1fcd2,usingballatpark,usingballatpark1,news,,40-49,male,4,4,4,3,4,4,,,,,3,,,ワニ,true,2026-08-25T14:03:06.858Z,2026-08-25T14:04:17.390Z,71,2026-08-25T14:04:17.391Z,2026-08-25T14:04:17.391Z
6c1f2bc7-43fe-403a-8a5e-f42440e0afa3,nuclearenergy,nuclearenergy1,news,,50-59,male,2,4,3,2,2,2,特にありません。,,,,1,,特にありません。,ワニ,true,2026-08-25T14:02:17.173Z,2026-08-25T14:04:22.599Z,125,2026-08-25T14:04:22.600Z,2026-08-25T14:04:22.600Z
00cdc953-54c5-4ece-a3e9-581614529cee,usingballatpark,usingballatpark1,news,,20-29,female,4,1,5,5,3,1,特に興味の無い話題だったため,,,,4,,ワニ,ワニ,true,2026-08-25T14:02:19.856Z,2026-08-25T14:04:24.113Z,124,2026-08-25T14:04:24.114Z,2026-08-25T14:04:24.114Z
01ac5838-f566-4536-a4d5-d41850ca62f9,nuclearenergy,nuclearenergy1,news,,40-49,female,4,4,4,2,4,3,,,,,3,,,ワニ,true,2026-08-25T14:02:29.428Z,2026-08-25T14:04:39.754Z,130,2026-08-25T14:04:39.755Z,2026-08-25T14:04:39.755Z
33648cbe-2eb2-4da3-a36c-05672a523508,immigration,immigration1,news,,20-29,male,1,4,4,4,4,4,,,,,1,,,ワニ,true,2026-08-25T14:03:12.813Z,2026-08-25T14:04:40.131Z,87,2026-08-25T14:04:40.131Z,2026-08-25T14:04:40.131Z
94610c37-4baa-4b29-b840-930fbbad650f,decreasericeprice,decreasericeprice1,news,,30-39,female,4,4,4,4,4,4,お米の値下がり具合について,,,,4,,,ワニ,true,2026-08-25T14:03:03.432Z,2026-08-25T14:04:45.171Z,102,2026-08-25T14:04:45.172Z,2026-08-25T14:04:45.172Z
1198dd9b-aa61-4c31-bd99-a64d375bad38,usingballatpark,usingballatpark2,news,,40-49,male,3,3,4,4,4,3,,,,,2,,,ワニ,true,2026-08-25T14:02:22.157Z,2026-08-25T14:05:00.789Z,159,2026-08-25T14:05:00.790Z,2026-08-25T14:05:00.790Z
998e6e2d-6ce7-4155-9f04-831a6a348836,usingballatpark,usingballatpark2,news,,40-49,male,3,2,4,2,4,2,,,,,3,,,ワニ,true,2026-08-25T14:02:37.699Z,2026-08-25T14:05:06.953Z,149,2026-08-25T14:05:06.954Z,2026-08-25T14:05:06.954Z
7918ce40-ae50-42d0-9796-ee0d6f88d38e,casinoir,casinoir1,news,,60+,male,1,3,2,3,3,2,カジノは日本にいらない,,,,1,,,ワニ,true,2026-08-25T14:02:42.585Z,2026-08-25T14:05:20.781Z,158,2026-08-25T14:05:20.781Z,2026-08-25T14:05:20.781Z
c44e8927-8ac5-4822-9ed7-5d2ccd55df88,casinoir,casinoir2,news,,50-59,male,2,2,4,2,2,2,,,,,2,,,ワニ,true,2026-08-25T14:04:26.980Z,2026-08-25T14:05:51.895Z,85,2026-08-25T14:05:51.896Z,2026-08-25T14:05:51.896Z
3a6ddc79-f8e9-42f1-91f3-9a67af5b25c7,usingballatpark,usingballatpark2,news,,20-29,female,3,4,5,4,5,5,,,,,3,,,ワニ,true,2026-08-25T14:05:08.214Z,2026-08-25T14:06:04.730Z,57,2026-08-25T14:06:04.731Z,2026-08-25T14:06:04.731Z
f1518f20-0910-4ee7-b954-543c7fd74051,casinoir,casinoir2,news,,30-39,female,3,3,3,3,3,3,わかりやすかったです。,,,,3,,,ワニ,true,2026-08-25T14:05:45.655Z,2026-08-25T14:06:10.874Z,25,2026-08-25T14:06:10.875Z,2026-08-25T14:06:10.875Z
b98e57f2-04d2-4841-88a4-e079148e64cc,immigration,immigration1,news,,50-59,male,1,3,4,3,2,3,興味がない,,,,1,,,ワニ,true,2026-08-25T14:02:35.543Z,2026-08-25T14:06:22.227Z,227,2026-08-25T14:06:22.228Z,2026-08-25T14:06:22.228Z
d0bcaed1-76ea-47f6-a279-929e6c1de266,casinoir,casinoir1,news,,30-39,male,3,4,5,5,4,4,,,,,3,,,ワニ,true,2026-08-25T14:05:21.227Z,2026-08-25T14:06:31.073Z,70,2026-08-25T14:06:31.074Z,2026-08-25T14:06:31.074Z
b9a761b1-eb0c-41bb-b342-ce637368837c,immigration,immigration1,news,,40-49,male,3,3,4,4,3,3,飲食店で外国人を採用し現場で働いていることは以前からあったこと。感情的な暴論でいやがらせのごとく規制するのは気分が悪い。,,,,3,,見出しの大憲法って初めて見ました。専門用語ですか。,ワニ,true,2026-08-25T14:02:19.472Z,2026-08-25T14:06:33.706Z,254,2026-08-25T14:06:33.706Z,2026-08-25T14:06:33.706Z
b2cebf4b-acf8-4c21-b531-6bbbb43f5ca6,usingballatpark,usingballatpark1,news,,30-39,male,1,2,4,4,4,3,記事内で背景や自治体の取り組み例（大阪市や船橋市など）が十分わかりやすくまとめられていたため。,,,,1,,事故防止と子供の運動機会の確保というバランスを取るための工夫が知れて勉強になりました。,ワニ,true,2026-08-25T14:02:43.907Z,2026-08-25T14:06:34.937Z,231,2026-08-25T14:06:34.938Z,2026-08-25T14:06:34.938Z
